Areaal,source,target,mapping,
GRVERH,Inrichtend/ad.vegetatieObject_p,/Boom,,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Meerpaal, typespec = meerpaal,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Meerpaal, typespec = dukdalf,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Baken, typespec = baken,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Baken, typespec = Betonning: onbekend,
GRVERH,Opdelend/ad.begroeidTerreindeelKruin_l,/Berm,,
GRVERH,Inrichtend/ad.vegetatieObject_p,/Boom,,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Meerpaal, typespec = meerpaal,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Meerpaal, typespec = dukdalf,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Baken, typespec = baken,
GRVERH,Inrichtend/ad.weginrichtingselement_l,/Baken, typespec = Betonning: onbekend,
GRVERH,Opdelend/ad.begroeidTerreindeelKruin_l,/Berm,,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Duin, fysiekvoorkomen = duin,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Berm, fysiekvoorkomen = groenvoorziening:gras- en kruidachtigen,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Berm, fysiekvoorkomen = groenvoorziening: gras- en kruidachtigen,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Houtige beplanting, fysiekvoorkomen = groenvoorziening:bosplantsoen,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Beplanting, fysiekvoorkomen = groenvoorziening:heesters,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Beplanting, fysiekvoorkomen = groenvoorziening:planten,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Beplanting,,
GRVERH,Functioneel/ad.faunavoorziening_v,/Vleermuiskelder,,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Bermverharding,/fysiekvoorkomen = erf,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Asfaltverharding,/fysiekvoorkomen = gesloten verharding,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Betonverharding,/fysiekvoorkomen = gesloten verharding:cementbeton,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Bermverharding,/fysiekvoorkomen = half verhard,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Bermverharding,/fysiekvoorkomen = open verharding,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Elementenverharding,/fysiekvoorkomen = open verharding:beton element,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Transitie,/fysiekvoorkomen = transitie,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Bermverharding,/fysiekvoorkomen = zand,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Elementenverharding,/fysiekvoorkomen = open verharding:tegels,
GRVERH,Opdelend/ad.begroeidterreindeel_v,/Overigeverharding,,
GRVERH,Opdelend/ad.ondersteunendWaterdeel_v,/Slootkant,,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Bermverharding, fysiekvoorkomen=gesloten verharding,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Asfaltverharding, fysiekvoorkomen=gesloten verharding:asfalt,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Betonverharding, fysiekvoorkomen=gesloten verharding:cementbeton,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Berm, fysiekvoorkomen=groenvoorziening,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Gazon, fysiekvoorkomen=groenvoorziening:gras- en kruidachtigen,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Bermverharding, fysiekvoorkomen=half verhard,
GRVERH,Opdelend/ad.ondersteunendWegdeel_v,/Elementenverharding, fysiekvoorkomen=half verhard:grasklinkers,
