Areaal,source,target,mapping,
ALG,Opdelend/ad.ongeclassificeerdObject_v,/Transitie,,
ALG,Opdelend/ad.pand_v,/Gebouw,,
KW,Inrichtend/ad.kunstwerkBeweegbaar_p,/Bruggen (beweegbaar),,
KW,Inrichtend/ad.kunstwerkVast_p,/Onderdoorgangen, nenbeheerobject = Onderdoorgangen,
KW,Inrichtend/ad.kunstwerkVast_p,/Spoorweg, nenbeheerobject = Spoorwegen,
KW,Inrichtend/ad.kunstwerkVast_p,/Bruggen (vast), nenbeheerobject = Bruggen (vast),
KW,Inrichtend/ad.kunstwerkVast_p,/Viaduct, nenbeheerobject  = Viaducten,
KW,Inrichtend/ad.kunstwerkVast_p,/Duiker (kunstwerk), nenbeheerobject  = Duikers,
KW,Inrichtend/ad.kunstwerkVast_p,/Watergang, nenbeheerobject  = Wateren en watergangen (niet lijnvormig), overig
KW,Inrichtend/ad.kunstwerkVast_p,/Bruggen (vast), nenbeheerobject = AG,
KW,Inrichtend/ad.kunstwerkVast_p,/Duiker (kunstwerk), nenbeheerobject  = AM,
KW,Inrichtend/ad.kunstwerkVast_p,/Onderdoorgangen, nenbeheerobject = BB,
KW,Inrichtend/ad.kunstwerkVast_p,/Overkluizing, nenbeheerobject = BE,
KW,Inrichtend/ad.kunstwerkVast_p,/Spoorweg, nenbeheerobject = BL,
KW,Inrichtend/ad.kunstwerkVast_p,/Viaduct, nenbeheerobject  = BW,
KW,Inrichtend/ad.kunstwerkVast_p,/Watergang, nenbeheerobject  = CJ,
KW,Inrichtend/ad.schutsluis_p,/Schutsluis,,
KW,Inrichtend/ad.geluidwerendeVoorziening_l,/Geluidswering,,
KW,Inrichtend/ad.kunstwerkdeel_l,/Duiker (element),,
KW,Inrichtend/ad.ScheidingGeluidsscherm_l,/Geluidswering,,
VW,Inrichtend/ad.scheidingOevervak_l,/Oeverbescherming,,
VW,Inrichtend/ad.bodem_v,/Bodem,,
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, Steiger, bgtplustype = steiger
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, Duiker (element), bgtplustype = niet-bgt:duiker
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, Gemaal, bgtplustype = gemaal
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, Sluis, bgtplustype = sluis
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, bgtplustype = stuw,
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, bgtplustype = niet-bgt:faunavoorziening,
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, bgtplustype = transitie,
KW,Opdelend/ad.kunstwerkdeel_v,/Steiger, Transitie,
VW,Functioneel/ad.ligplaatsstrook_v,/Ligplaats,,
KW,Opdelend/ad.overbruggingsdeel_v,/Bruggen (vast),,
KW,Opdelend/ad.tunneldeel_v,/Tunnel,,
VW,Opdelend/ad.waterdeel_v,/Greppel, typespec=Greppel,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Kanaal,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Open water,
VW,Opdelend/ad.waterdeel_v,/Sloot, typespec=Paddenpoel,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Paddenpoel,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Waterdeel: onbekend,
VW,Opdelend/ad.waterdeel_v,/Sloot, typespec=Watergang < 6m,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Watergang > 6m,
VW,Opdelend/ad.waterdeel_v,/Watergang, typespec=Waterloop: onbekend,
