Areaal,source,target,mapping,,
MEUBHOV,Inrichtend/ad.bak_p,/Afvalbak, typespec = Afvalbak,,
MEUBHOV,Inrichtend/ad.bak_p,/Zoutkist, typespec = Zandkist,,
MEUBHOV,Inrichtend/ad.bak_p,/Matrix, bgtplustype = niet-bgt:dynamische snelheidsindicator,,
MEUBHOV,Inrichtend/ad.bak_p,/Bebording, bgtplustype = niet-bgt,,
MEUBHOV,Inrichtend/ad.bak_p,/Bebording, bgtplustype = transitie,,
MEUBHOV,Inrichtend/ad.bak_p,/Bebording,,,
MEUBHOV,Inrichtend/ad.bordScheepvaart_p,/Bebording, bgtplustype = niet-bgt:dynamische snelheidsindicator,,
MEUBHOV,Inrichtend/ad.bordWegwijzer_p,/VRinstallatie, typespec = Wegwijzer met kabel (1P),,
MEUBHOV,Inrichtend/ad.bordWegwijzer_p,/Bebording, typespec = Wegwijzer op portaal (1P),,
MEUBHOV,Inrichtend/ad.bordWegwijzer_p,/Bebording, typespec = Wegwijzer zonder kabel (1P),,
MEUBHOV,Inrichtend/ad.bordWegwijzer_p,/Bebording,,,
MEUBHOV,Inrichtend/ad.installatie_p,/Pompinstallatie,,,
MEUBHOV,Inrichtend/ad.kast_p,/Kast,,,
MEUBHOV,Inrichtend/ad.bordkastOvl_p,/Kast,,,
MEUBHOV,Inrichtend/ad.kastVri_p,/Kast,,,
MEUBHOV,Inrichtend/ad.mastDraagconstructie_p,/Mast,,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend, bgtplustype = 0,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend, bgtplustype = 0:0,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend, bgtplustype = niet-bgt,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend, bgtplustype = niet-bgt:hectometerpaal,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend, bgtplustype = niet-bgt:verkeersregelinstallatiepaal,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = dijkpaal, bgtplustype = 0:0,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = grenssteen algemeen, bgtplustype = 0:0,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Hectometerbord Scheepvaart, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Hectometerbord Scheepvaart, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Hectometerbord Scheepvaart, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Hectometerbord, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.paalAfbakening_p,/Bermplank, typespec = Bermplank: onbekend,,
MEUBHOV,Inrichtend/ad.put_p,/Brandkraanput, typespec = Branput/kraan,,
MEUBHOV,Inrichtend/ad.put_p,/Kolk, typespec = Kolk,,
MEUBHOV,Inrichtend/ad.put_p,/put, typespec = Put algemeen,,
MEUBHOV,Inrichtend/ad.put_p,/Brandkraanput, typespec = Put,,
MEUBHOV,Inrichtend/ad.put_p,/Brandkraanput, typespec = Put: onbekend,,
MEUBHOV,Inrichtend/ad.put_p,/Brandkraanput, typespec = Rioolleidingelement: onbekend,,
MEUBHOV,Inrichtend/ad.put_p,/Brandkraanput, typespec = Inspectieput,,
MEUBHOV,Inrichtend/ad.put_p,/put,,, 
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Bank, typespec = Meubilair: zitbank,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Bank, typespec = zitbank,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Bolder, typespec = Bolder,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Brievenbus, typespec = Meubilair: brievenbus,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Slagboom, typespec = Slagboom,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Afvalbak, typespec = Afvalbak,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Herdenkingsmonument, typespec = Herdenkingsmonument,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Brievenbus, typespec = Brievenbus,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Bolder, typespec = Meubilair: bolder,,
MEUBHOV,Inrichtend/ad.straatmeubilair_p,/Afvalbak,,,
MEUBHOV,Inrichtend/ad.fietsparkeervoorziening_l,/Fietsenrek,,,
MEUBHOV,Inrichtend/ad.overigeScheiding_l,/Transitie,,,
MEUBHOV,Inrichtend/ad.scheiding_l,/Faunavoorziening, typespec = Fauna geleide rail,,
