source,target,mapping
/ad4.traject_v.AD_ID,/ad5.traject_v.ad_id,/???
/ad4.traject_v.CODE,/ad5.traject_v.code,/???
/ad4.traject_v.CREATED_DATE,/ad5.traject_v.created_date,/???
/ad4.traject_v.CREATED_USER,/ad5.traject_v.created_user,/???
/ad4.traject_v.DATALEVERANCIER,/ad5.traject_v.dataleverancier,/???
/ad4.traject_v.GEBIEDSCONTRACTREGIO,/ad5.traject_v.gebiedscontractregio,/???
/ad4.traject_v.GEBRUIKSFUNCTIE,/ad5.traject_v.gebruiksfunctie,/???
/ad4.traject_v.LAST_EDITED_DATE,/ad5.traject_v.last_edited_date,/???
/ad4.traject_v.LAST_EDITED_USER,/ad5.traject_v.last_edited_user,/???
/ad4.traject_v.OBJECTBEGINTIJD,/ad5.traject_v.objectbegintijd,/???
/ad4.traject_v.OBJECTEINDTIJD,/ad5.traject_v.objecteindtijd,/???
/ad4.traject_v.OPMERKING,/ad5.traject_v.opmerking,/???
/ad4.traject_v.TYPESPEC,/ad5.traject_v.type,/???
/ad4.traject_v.VERWERKINGSSTATUS,/ad5.traject_v.verwerkingsstatus,/???
