source,target,mapping
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_deklagen,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_onderlagen,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_tussenlagen,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Asfaltverharding
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Asfaltverharding
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Asfaltverharding
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerder_gedetailleerd,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Asfaltverharding
/ad4.wegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bergend_vermogen,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Asfaltverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Asfaltverharding
/ad4.wegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_objecttype,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_opmerking,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_functie,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_fysiekvoorkomen,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.BREEDTE,/ad5.verharding_v.breedte,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Asfaltverharding
/ad4.wegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Asfaltverharding
/ad4.wegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.buurtnaam,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.conversie_id,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Asfaltverharding
/ad4.wegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Asfaltverharding
/ad4.wegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Asfaltverharding
/ad4.wegdeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.dikte_constructie,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.domein,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.draagkrachtig,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.EIGENAAR,/ad5.verharding_v.eigenaar,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.EIGENAAR,/ad5.verharding_v.eigenaar,/Asfaltverharding
/ad4.wegdeel_v.EIGENAAR,/ad5.verharding_v.eigenaar,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.eigenaar_gedetailleerd,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.EINDREGISTRATIE,/ad5.verharding_v.eindRegistratie,/Asfaltverharding
/ad4.wegdeel_v.EINDREGISTRATIE,/ad5.verharding_v.eindRegistratie,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.fabrikant,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.gebiedstype,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Asfaltverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.gedeeld beheer,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.geluidsreducerend,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.gemeentenaam,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.SHAPE,/ad5.verharding_v.geometrie,/Asfaltverharding
/ad4.wegdeel_v.SHAPE,/ad5.verharding_v.geometrie,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.grondsoortnaam,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.hoogte,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.IDENTIFICATIE,/ad5.verharding_v.identificatie,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.IDENTIFICATIE,/ad5.verharding_v.identificatie,/Asfaltverharding
/ad4.wegdeel_v.IDENTIFICATIE,/ad5.verharding_v.identificatie,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.INONDERZOEK,/ad5.verharding_v.in_onderzoek,/Asfaltverharding
/ad4.wegdeel_v.INONDERZOEK,/ad5.verharding_v.in_onderzoek,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_ aanleg,/Asfaltverharding
/ad4.wegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_ aanleg,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.jaar_maatregel,/Asfaltverharding
/ad4.wegdeel_v.JAARAANLEG,/ad5.verharding_v.jaar_maatregel,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.kleur,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Asfaltverharding
/ad4.wegdeel_v.LAST_EDITED_DATE,/ad5.verharding_v.last_edited_date,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Asfaltverharding
/ad4.wegdeel_v.LAST_EDITED_USER,/ad5.verharding_v.last_edited_user,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Asfaltverharding
/ad4.wegdeel_v.LENGTE_VLAK,/ad5.verharding_v.lengte,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.leverancier,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Asfaltverharding
/ad4.wegdeel_v.LV_PUBLICATIEDATUM,/ad5.verharding_v.lv_publicatiedatum,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.maximale_valhoogte,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.modaliteit,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Asfaltverharding
/ad4.wegdeel_v.OBJECTBEGINTIJD,/ad5.verharding_v.objectbegintijd,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Asfaltverharding
/ad4.wegdeel_v.OBJECTEINDTIJD,/ad5.verharding_v.objecteindtijd,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.objectnaam,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OMTREK,/ad5.verharding_v.omtrek,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OMTREK,/ad5.verharding_v.omtrek,/Asfaltverharding
/ad4.wegdeel_v.OMTREK,/ad5.verharding_v.omtrek,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.ONDERHOUDER,/ad5.verharding_v.onderhouder,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.ONDERHOUDER,/ad5.verharding_v.onderhouder,/Asfaltverharding
/ad4.wegdeel_v.ONDERHOUDER,/ad5.verharding_v.onderhouder,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OPTALUD,/ad5.verharding_v.op talud,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OPTALUD,/ad5.verharding_v.op talud,/Asfaltverharding
/ad4.wegdeel_v.OPTALUD,/ad5.verharding_v.op talud,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.openbare_ruimtenaam,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OPMERKING,/ad5.verharding_v.opmerking,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OPMERKING,/ad5.verharding_v.opmerking,/Asfaltverharding
/ad4.wegdeel_v.OPMERKING,/ad5.verharding_v.opmerking,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Asfaltverharding
/ad4.wegdeel_v.OPPERVLAKTE,/ad5.verharding_v.oppervlakte,/Asfaltverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.postcode,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.RELATIEVEHOOGTELIGGING,/ad5.verharding_v.relatieve_hoogteligging,/Asfaltverharding
/ad4.wegdeel_v.RELATIEVEHOOGTELIGGING,/ad5.verharding_v.relatieve_hoogteligging,/Asfaltverharding
/ad4.onbegroeidTerreindeel_v.SITUERING,/ad5.verharding_v.situering,/Asfaltverharding
/ad4.ondersteunendWegdeel_v.SITUERING,/ad5.verharding_v.situering,/Asfaltverharding
