source,target,mapping
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/Betonverharding
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/Betonverharding
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Betonverharding
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Betonverharding
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Betonverharding
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/Betonverharding
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Betonverharding
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Betonverharding
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerder_gedetailleerd,/Betonverharding
/ad4.onbegroeidTerreindeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Betonverharding
/ad4.ondersteunendWegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Betonverharding
/ad4.wegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bergend_vermogen,/Betonverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Betonverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Betonverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Betonverharding
/ad4.onbegroeidTerreindeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Betonverharding
/ad4.ondersteunendWegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Betonverharding
/ad4.wegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_objecttype,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_opmerking,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_functie,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_fysiekvoorkomen,/Betonverharding
/ad4.onbegroeidTerreindeel_v.BREEDTE,/ad5.verharding_v.breedte,/Betonverharding
/ad4.ondersteunendWegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Betonverharding
/ad4.wegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Betonverharding
/ad4.ondersteunendWegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Betonverharding
/ad4.wegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.buurtnaam,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.conversie_id,/Betonverharding
/ad4.onbegroeidTerreindeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Betonverharding
/ad4.ondersteunendWegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Betonverharding
/ad4.wegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Betonverharding
/ad4.onbegroeidTerreindeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Betonverharding
/ad4.ondersteunendWegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Betonverharding
/ad4.wegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Betonverharding
/ad4.onbegroeidTerreindeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Betonverharding
/ad4.ondersteunendWegdeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Betonverharding
/ad4.wegdeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.dikte_constructie,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.domein,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.draagkrachtig,/Betonverharding
/ad4.ondersteunendWegdeel_v.eigenaar,/ad5.verharding_v.eigenaar,/Betonverharding
/ad4.wegdeel_v.eigenaar,/ad5.verharding_v.eigenaar,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.eigenaar_gedetailleerd,/Betonverharding
/ad4.ondersteunendWegdeel_v.EINDREGISTRATIE,/ad5.verharding_v.eindRegistratie,/Betonverharding
/ad4.wegdeel_v.EINDREGISTRATIE,/ad5.verharding_v.eindRegistratie,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.fabrikant,/Betonverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.gebiedstype,/Betonverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Betonverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Betonverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.gebruiksfunctie,/Betonverharding
