source,target,mapping
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/Elementenverharding
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Elementenverharding
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.afmeting,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.afvoeren,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.afvoeren_instructie,/Elementenverharding
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Elementenverharding
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/Elementenverharding
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Elementenverharding
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerder_gedetailleerd,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Elementenverharding
/ad4.ondersteunendWegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Elementenverharding
/ad4.wegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bergend_vermogen,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Elementenverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Elementenverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Elementenverharding
/ad4.ondersteunendWegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Elementenverharding
/ad4.wegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_objecttype,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_opmerking,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_functie,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_fysiekvoorkomen,/Elementenverharding
/ad4.ondersteunendWegdeel_v.JAARAANLEG,/ad5.verharding_v.bouwjaar,/Elementenverharding
/ad4.wegdeel_v.JAARAANLEG,/ad5.verharding_v.bouwjaar,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.BREEDTE,/ad5.verharding_v.breedte,/Elementenverharding
/ad4.ondersteunendWegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Elementenverharding
/ad4.wegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Elementenverharding
/ad4.ondersteunendWegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Elementenverharding
/ad4.wegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.buurtnaam,/Elementenverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.conversie_id,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Elementenverharding
/ad4.ondersteunendWegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Elementenverharding
/ad4.wegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Elementenverharding
/ad4.onbegroeidTerreindeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Elementenverharding
/ad4.ondersteunendWegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Elementenverharding
/ad4.wegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Elementenverharding
