source,target,mapping
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/Halfverharding
/ad4.crowMeting_tbl.AD_ID,/ad5.verharding_v.ad_id,/Halfverharding
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Halfverharding
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/Halfverharding
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Halfverharding
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/Halfverharding
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Halfverharding
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Halfverharding
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerder_gedetailleerd,/Halfverharding
/ad4.onbegroeidTerreindeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Halfverharding
/ad4.ondersteunendWegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Halfverharding
/ad4.wegdeel_v.WEGTYPE,/ad5.verharding_v.belasting,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bergend_vermogen,/Halfverharding
/ad4.onbegroeidTerreindeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Halfverharding
/ad4.ondersteunendWegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Halfverharding
/ad4.wegdeel_v.FUNCTIE,/ad5.verharding_v.bgt_functie,/Halfverharding
/ad4.onbegroeidTerreindeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Halfverharding
/ad4.ondersteunendWegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Halfverharding
/ad4.wegdeel_v.FYSIEKVOORKOMEN,/ad5.verharding_v.bgt_fysiek_voorkomen,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bgt_objecttype,/Halfverharding
/ad4.wegvak_v.x,/ad5.verharding_v.bgt_objecttype,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_functie,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.bor_fysiekvoorkomen,/Halfverharding
/ad4.ondersteunendWegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Halfverharding
/ad4.wegdeel_v.BREEDTE,/ad5.verharding_v.breedte,/Halfverharding
/ad4.ondersteunendWegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Halfverharding
/ad4.wegdeel_v.BRONHOUDER,/ad5.verharding_v.bronhouder,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.buurtnaam,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.conversie_id,/Halfverharding
/ad4.crowMeting_tbl.CREATED_DATE,/ad5.verharding_v.created_date,/Halfverharding
/ad4.wegdeel_v.CREATED_DATE,/ad5.verharding_v.created_date,/Halfverharding
/ad4.crowMeting_tbl.CREATED_USER,/ad5.verharding_v.created_user,/Halfverharding
/ad4.wegdeel_v.CREATED_USER,/ad5.verharding_v.created_user,/Halfverharding
/ad4.crowMeting_tbl.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Halfverharding
/ad4.wegdeel_v.DATALEVERANCIER,/ad5.verharding_v.dataleverancier,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.domein,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.draagkrachtig,/Halfverharding
/ad4.ondersteunendWegdeel_v.EIGENAAR,/ad5.verharding_v.eigenaar,/Halfverharding
/ad4.wegdeel_v.EIGENAAR,/ad5.verharding_v.eigenaar,/Halfverharding
/ad4.wegdeel_v.x,/ad5.verharding_v.eigenaar_gedetailleerd,/Halfverharding
