source,target,mapping
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aan_of_vrijliggend,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aanleghoogte,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_deklagen,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_onderlagen,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.aantal_tussenlagen,/hm
/ad4.crowMeting_tbl.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.onbegroeidTerreindeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.ondersteunendWegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.wegdeel_v.AD_ID,/ad5.verharding_v.ad_id,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.afmeting,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.afvoeren,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.afvoeren_instructie,/hm
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.ondersteunendWegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.wegdeel_v.KOMGRENS,/ad5.verharding_v.bebouwdekom,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/hm
/ad4.wegdeel_v.x,/ad5.verharding_v.beheerafspraak,/hm
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.onbegroeidTerreindeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.ondersteunendWegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
/ad4.wegdeel_v.BEHEERDER,/ad5.verharding_v.beheerder,/hm
