source,target,value,mapping,assetgroep
TOTAL.ad4 (1311606),ad4.adres_tbl (60),60,totaal,alles
TOTAL.ad4 (1311606),ad4.bak_p (994),994,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeelBermKr_l (1022),1022,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeelBerm_v (15669),15669,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeelKruin_l (58),58,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeelPlKr_l (199),199,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeelPlantvak_v (4499),4499,totaal,alles
TOTAL.ad4 (1311606),ad4.begroeidTerreindeel_v (3887),3887,totaal,alles
TOTAL.ad4 (1311606),ad4.beheergrenzen_v (10),10,totaal,alles
TOTAL.ad4 (1311606),ad4.bordDRIS_p (240),240,totaal,alles
TOTAL.ad4 (1311606),ad4.bordScheepvaart_p (1662),1662,totaal,alles
TOTAL.ad4 (1311606),ad4.bordZwemwater_p (340),340,totaal,alles
TOTAL.ad4 (1311606),ad4.bord_p (36860),36860,totaal,alles
TOTAL.ad4 (1311606),ad4.bouwdeelGeluidsscherm_tbl (2050),2050,totaal,alles
TOTAL.ad4 (1311606),ad4.bouwdeelKunstwerk_tbl (26548),26548,totaal,alles
TOTAL.ad4 (1311606),ad4.bouwdeelOevervak_tbl (21424),21424,totaal,alles
TOTAL.ad4 (1311606),ad4.buis_l (10618),10618,totaal,alles
TOTAL.ad4 (1311606),ad4.crowInspectie_tbl (76),76,totaal,alles
TOTAL.ad4 (1311606),ad4.crowInspectieresultaat_tbl (263541),263541,totaal,alles
TOTAL.ad4 (1311606),ad4.crowMeting_tbl (184511),184511,totaal,alles
TOTAL.ad4 (1311606),ad4.ecopassage_l (194),194,totaal,alles
TOTAL.ad4 (1311606),ad4.elektriciteitskabel_l (34538),34538,totaal,alles
TOTAL.ad4 (1311606),ad4.elementOevervak_tbl (15516),15516,totaal,alles
TOTAL.ad4 (1311606),ad4.faunavoorziening_v (82),82,totaal,alles
TOTAL.ad4 (1311606),ad4.fietsparkeervoorziening_l (776),776,totaal,alles
TOTAL.ad4 (1311606),ad4.functioneelGebied_v (19),19,totaal,alles
TOTAL.ad4 (1311606),ad4.gebiedscontractregio_v (7),7,totaal,alles
TOTAL.ad4 (1311606),ad4.gebouwInstallatie_v (6),6,totaal,alles
TOTAL.ad4 (1311606),ad4.geluidwerendeVoorziening_l (195),195,totaal,alles
TOTAL.ad4 (1311606),ad4.halte_v (403),403,totaal,alles
TOTAL.ad4 (1311606),ad4.installatie_p (296),296,totaal,alles
TOTAL.ad4 (1311606),ad4.kastDRIS_p (5),5,totaal,alles
TOTAL.ad4 (1311606),ad4.kastOvl_p (609),609,totaal,alles
TOTAL.ad4 (1311606),ad4.kastVri_p (302),302,totaal,alles
TOTAL.ad4 (1311606),ad4.kast_p (2249),2249,totaal,alles
TOTAL.ad4 (1311606),ad4.kleineHalteDisplay_p (44),44,totaal,alles
TOTAL.ad4 (1311606),ad4.kruispunt_p (808),808,totaal,alles
TOTAL.ad4 (1311606),ad4.kunstwerk_p (869),869,totaal,alles
TOTAL.ad4 (1311606),ad4.kunstwerkdeel_l (2556),2556,totaal,alles
TOTAL.ad4 (1311606),ad4.kunstwerkdeel_mp (10),10,totaal,alles
TOTAL.ad4 (1311606),ad4.kunstwerkdeel_v (3773),3773,totaal,alles
TOTAL.ad4 (1311606),ad4.kwElement_tbl (10587),10587,totaal,alles
TOTAL.ad4 (1311606),ad4.lamp_p (12430),12430,totaal,alles
TOTAL.ad4 (1311606),ad4.lantaarn_p (7568),7568,totaal,alles
TOTAL.ad4 (1311606),ad4.leidingelement_p (26119),26119,totaal,alles
TOTAL.ad4 (1311606),ad4.ligplaatsstrook_v (38),38,totaal,alles
TOTAL.ad4 (1311606),ad4.mantelbuis_v (10067),10067,totaal,alles
TOTAL.ad4 (1311606),ad4.mast_p (3),3,totaal,alles
TOTAL.ad4 (1311606),ad4.oevervak_v (6921),6921,totaal,alles
TOTAL.ad4 (1311606),ad4.onbegroeidTerreindeelKruin_l (111),111,totaal,alles
TOTAL.ad4 (1311606),ad4.onbegroeidTerreindeel_v (10669),10669,totaal,alles
TOTAL.ad4 (1311606),ad4.ondersteunendWaterdeel_v (14135),14135,totaal,alles
TOTAL.ad4 (1311606),ad4.ondersteunendWegdeelKruin_l (2205),2205,totaal,alles
TOTAL.ad4 (1311606),ad4.ondersteunendWegdeel_v (34754),34754,totaal,alles
