source,target,value,mapping,assetgroep
ad4.buis_l (10618),ad5.aansluitleiding_l (18),1,TYPESPEC_aansluitleiding,wegen
ad4.leidingelement_p (26187),ad5.aansluitput_p (3),1,TYPESPEC_Zandvang,wegen
ad4.leidingelement_p (26187),ad5.aardelektrode_p (128),1,TYPESPEC_aarding,elektrotechniek
ad4.straatmeubilairAbri_p (282),ad5.abri_p (282),1,x_x,wegen
ad4.straatmeubilairLichtpunt_p (25496),ad5.actievewegmarkering_p (2246),1,TYPESPEC_AM,elektrotechniek
ad4.adres_tbl (60),ad5.adres_tbl (60),1,x_x,overig
ad4.paalAfbakening_p (34233),ad5.afsluitpaal_p (2153),1,TYPESPEC_Afsluiter_schamppaal,wegen
ad4.paalDraagconstructie_p (50708),ad5.afsluitpaal_p (2153),1,BGTPLUSTYPE_niet-bgt_afsluitpaal,wegen
ad4.bak_p (994),ad5.afvalbak_p (963),1,BGTPLUSTYPE_niet-bgt_afvalbak_niet-bgt_ afval apartplaats,wegen
ad4.straatmeubilair_p (6902),ad5.akoestische_signaalgever_p (92),1,TYPESPEC_bel,elektrotechniek
ad4.sensor_p (1996),ad5.antenne_p (92),1,TYPESPEC_Kar antenne,elektrotechniek
ad4.kunstwerk_p (869),ad5.aquaduct_p (2),1,NENBEHEEROBJECT_Aquaducten,kunstwerken
ad4.straatmeubilairLichtpunt_p (25496),ad5.armatuur_p (23250),1,TYPESPEC_ARM_MU,elektrotechniek
ad4.onbegroeidTerreindeel_v (10729),ad5.asfaltverharding_v (40069),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.ondersteunendWegdeel_v (34770),ad5.asfaltverharding_v (40069),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.wegdeel_v (61153),ad5.asfaltverharding_v (40069),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,wegen
ad4.weginrichtingselement_l (8273),ad5.balustrade_l (119),1,BGTPLUSTYPE_niet-bgt_balustrade,kunstwerken
ad4.weginrichtingselement_l (8273),ad5.band_l (4637),1,TYPESPEC_OPS,wegen
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (7),1,x_x,algemeen
ad4.beheergrenzen_v (10),ad5.beheervak_v (10),1,x_x,algemeen
ad4.overigBouwwerk_v (856),ad5.bergbezinkbassin_v (3),1,BGTPLUSTYPE_bezinkbak,overig
ad4.scheidingWater_l (11356),ad5.beschoeiing_l (6693),1,BGTPLUSTYPE_walbescherming,vaarwegen
ad4.kast_p (2248),ad5.besturingskast_p (71),1,TYPESPEC_Rioolpompkast,elektrotechniek
ad4.straatmeubilair_p (6902),ad5.betaalautomaat_p (9),1,TYPESPEC_Betaalautomaat,overig
ad4.waterinrichtingselement_p (2466),ad5.betonning_p (87),1,TYPESPEC_Baken,vaarwegen
ad4.onbegroeidTerreindeel_v (10729),ad5.betonverharding_v (4275),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
ad4.ondersteunendWegdeel_v (34770),ad5.betonverharding_v (4275),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,wegen
