source,target,value,mapping,assetgroep
ad4.adres_tbl (60),ad5.adres_tbl (60),1,x_x,integraal
ad4.bak_p (994),ad5.afvalbak_p (963),1,BGTPLUSTYPE_niet-bgt_afvalbak_niet-bgt_ afval apartplaats,wegkantsystemen
ad4.bak_p (994),ad5.opslagbak_p (31),1,BGTPLUSTYPE_niet-bgt_zand- _ zoutbak,wegkantsystemen
ad4.begroeidTerreindeelBermKr_l (1022),ad5.profiellijn_l (3604),1,x_x,wegen
ad4.begroeidTerreindeelBerm_v (15623),ad5.gras_en_kruidachtigen_v (37094),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.begroeidTerreindeelBerm_v (15623),ad5.groenobject_v (4441),1,FYSIEKVOORKOMEN_groenvoorziening,groen
ad4.begroeidTerreindeelBerm_v (15623),ad5.duin_v (294),1,FYSIEKVOORKOMEN_duin_duin_gesloten duinvegetatie_duin_open duinvegetatie,groen
ad4.begroeidTerreindeelKruin_l (58),ad5.profiellijn_l (3604),1,x_x,wegen
ad4.begroeidTerreindeelPlKr_l (198),ad5.profiellijn_l (3604),1,x_x,wegen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.rietland_v (335),1,FYSIEKVOORKOMEN_rietland,groen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.heide_v (31),1,FYSIEKVOORKOMEN_heide,groen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.bos_v (658),1,FYSIEKVOORKOMEN_gemengd bos_loofbos_loofbos_griend en hakhout_naaldbos,groen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.struiken_v (1064),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen_struiken,groen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.bosplantsoen_v (1884),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,groen
ad4.begroeidTerreindeelPlantvak_v (4531),ad5.planten_v (720),1,FYSIEKVOORKOMEN_groenvoorziening_planten,groen
ad4.begroeidTerreindeel_v (3885),ad5.moeras_v (6),1,FYSIEKVOORKOMEN_moeras,groen
ad4.begroeidTerreindeel_v (3885),ad5.houtwal_v (151),1,FYSIEKVOORKOMEN_houtwal,groen
ad4.begroeidTerreindeel_v (3885),ad5.bouwland_v (718),1,FYSIEKVOORKOMEN_bouwland_bouwland_bollenteelt_bouwland_akkerbouw_bouwland_vollegrondsteelt_bouwland_braakliggend,groen
ad4.begroeidTerreindeel_v (3885),ad5.gras_en_kruidachtigen_v (37094),1,FYSIEKVOORKOMEN_grasland agrarisch_grasland overig_groenvoorziening_gras- en kruidachtigen,groen
ad4.begroeidTerreindeel_v (3885),ad5.fruit_of_kweekbomen_v (38),1,FYSIEKVOORKOMEN_fruitteelt_boomteelt_fruitteelt_hoogstam boomgaarden_fruitteelt_laagstam boomgaarden_fruitteelt_wijngaarden_fruitteelt_klein fruit,groen
ad4.beheergrenzen_v (10),ad5.beheervak_v (10),1,x_x,integraal
ad4.bordDRIS_p (240),ad5.informatiepaneel_p (443),1,x_x,wegkantsystemen
ad4.bordScheepvaart_p (1664),ad5.scheepvaartbord_p (3453),1,TYPESPEC_BPR bord_Route verwijsbord,wegkantsystemen
ad4.bordScheepvaart_p (1664),ad5.informatiebord_p (1328),1,TYPESPEC_Informatiebord,wegkantsystemen
ad4.bordScheepvaart_p (1664),ad5.kabels_en_leidingenbord_p (1681),1,TYPESPEC_bord kabels_leidingen,wegkantsystemen
ad4.bordZwemwater_p (340),ad5.informatiebord_p (1328),1,x_x,wegkantsystemen
ad4.bord_p (37809),ad5.kabels_en_leidingenbord_p (1681),1,BGTPLUSTYPE_niet-bgt_verklikker transportleiding,wegkantsystemen
ad4.bord_p (37809),ad5.informatiebord_p (1328),1,BGTPLUSTYPE_niet-bgt_informatiebord,wegkantsystemen
ad4.bord_p (37809),ad5.reclamebord_p (91),1,BGTPLUSTYPE_niet-bgt_reclamebord,wegkantsystemen
ad4.bord_p (37809),ad5.informatiepaneel_p (443),1,BGTPLUSTYPE_niet-bgt_dynamische snelheidsindicator,wegkantsystemen
ad4.bord_p (37809),ad5.verkeersbord_p (64047),1,BGTPLUSTYPE_niet-bgt_plaatsnaambord_niet-bgt_straatnaambord_niet-bgt_verkeersbord_niet-bgt_waarschuwingshek_niet-bgt_wegwijzer_niet-bgt,wegkantsystemen
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.kunstwerkbouwdeel_tbl (28605),1,x_x,kunstwerken
ad4.bouwdeelKunstwerk_tbl (26555),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.bouwdeelKunstwerk_tbl (26555),ad5.kunstwerkbouwdeel_tbl (28605),1,x_x,kunstwerken
ad4.bouwdeelOevervak_tbl (21424),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.buis_l (10618),ad5.drain_l (81),1,TYPESPEC_drainagebuis,bodem
ad4.buis_l (10618),ad5.aansluitleiding_l (18),1,TYPESPEC_aansluitleiding,bodem
ad4.buis_l (10618),ad5.vrijvervalrioolleiding_l (10519),1,TYPESPEC_hemelwaterriool_overstortleiding_stuwrioolleiding_ vuilwaterriool_doorlatendeleiding_zinker_transportrioolleiding,bodem
ad4.crowInspectie_tbl (76),ad5.crowinspectie_tbl (76),1,x_x,wegen
ad4.crowInspectieresultaat_tbl (263589),ad5.crowinspectieresultaat_tbl (263589),1,x_x,wegen
ad4.crowMeting_tbl (184557),ad5.crowmeting_tbl (184557),1,x_x,wegen
ad4.ecopassage_l (195),ad5.faunavoorziening_l (172),1,TYPESPEC_Amfibie_ntunnel_Boombrug_brug of viaduct met faunavoorziening_Duiker_ Looprichel_ecoduiker _ duiker met faunavoorziening_kleine faunatunnel_Looprichel_Onduidelijk_Overig_Overige faunatunnel_tunnel _ viaduct met medegebruik fauna,groen
ad4.ecopassage_l (195),ad5.faunaverblijfplaats_p (1),1,TYPESPEC_Vleermuisbunker,groen
ad4.ecopassage_l (195),ad5.faunameubilair_l (329),1,TYPESPEC_Loopplank onder brug,groen
ad4.elektriciteitskabel_l (34503),ad5.datakabel_l (1396),1,TYPESPEC_DAT,bodem
ad4.elektriciteitskabel_l (34503),ad5.voedingskabel_l (33635),1,TYPESPEC_ENE,bodem
ad4.elektriciteitskabel_l (34503),ad5.combikabel_l (8),1,TYPESPEC_ADD,bodem
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (95278),1,x_x,kunstwerken
ad4.elementOevervak_tbl (15516),ad5.oeverelement_tbl (15516),1,x_x,vaarwegen
ad4.faunavoorziening_v (82),ad5.gebied_faunavoorziening_v (82),1,x_x,groen
ad4.fietsparkeervoorziening_l (776),ad5.fietsparkeervoorziening_l (776),1,x_x,wegkantsystemen
ad4.functioneelGebied_v (19),ad5.werkgebied_v (19),1,x_x,integraal
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (7),1,x_x,integraal
ad4.gebouwInstallatie_v (6),ad5.toegangstrap_v (3),1,BGTPLUSTYPE_niet-bgt_toegangstrap,kunstwerken
ad4.gebouwInstallatie_v (6),ad5.bordes_v (0),1,BGTPLUSTYPE_niet-bgt_bordes,kunstwerken
ad4.gebouwInstallatie_v (6),ad5.luifel_v (3),1,BGTPLUSTYPE_niet-bgt_luifel,kunstwerken
ad4.geluidwerendeVoorziening_l (195),ad5.geluidwerendevoorziening_l (195),1,x_x,wegkantsystemen
