source,target,value,mapping
ad4.buis_l (10618),ad5.aansluitleiding_l (18),1,TYPESPEC_aansluitleiding,Bodem
ad4.leidingelement_p (26119),ad5.aansluitput_p (3),1,TYPESPEC_Zandvang,Bodem
ad4.leidingelement_p (26119),ad5.aardelektrode_p (0),1,TYPESPEC_aarding,Bodem
ad4.straatmeubilairAbri_p (282),ad5.abri_p (282),1,x_x,Wegkantsystemen
ad4.straatmeubilairLichtpunt_p (25465),ad5.actievewegmarkering_p (0),1,TYPESPEC_AM,OVL/VRI
ad4.adres_tbl (60),ad5.adres_tbl (60),1,x_x,Integraal
ad4.paalDraagconstructie_p (50695),ad5.afsluitpaal_p (2148),1,BGTPLUSTYPE_niet-bgt_afsluitpaal,Wegkantsystemen
ad4.paalAfbakening_p (34245),ad5.afsluitpaal_p (2148),1,TYPESPEC_Afsluiter_schamppaal,Wegkantsystemen
ad4.bak_p (994),ad5.afvalbak_p (963),1,BGTPLUSTYPE_niet-bgt_afvalbak_niet-bgt_ afval apartplaats,Wegkantsystemen
ad4.straatmeubilair_p (6902),ad5.akoestische_signaalgever_p (0),1,TYPESPEC_bel,OVL/VRI
ad4.sensor_p (2001),ad5.antenne_p (92),1,TYPESPEC_Kar antenne,OVL/VRI
ad4.kunstwerk_p (869),ad5.aquaduct_p (2),1,NENBEHEEROBJECT_Aquaducten,Kunstwerken
ad4.straatmeubilairLichtpunt_p (25465),ad5.armatuur_p (25465),1,TYPESPEC_ARM_MU,OVL/VRI
ad4.wegdeel_v (60933),ad5.asfaltverharding_v (39991),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.ondersteunendWegdeel_v (34754),ad5.asfaltverharding_v (39991),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.asfaltverharding_v (39991),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.weginrichtingselement_l (8250),ad5.balustrade_l (119),1,BGTPLUSTYPE_niet-bgt_balustrade,Kunstwerken
ad4.weginrichtingselement_l (8250),ad5.band_l (4631),1,TYPESPEC_OPS,Wegen
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (0),1,x_x,Integraal
ad4.beheergrenzen_v (10),ad5.beheervak_v (10),1,x_x,Integraal
ad4.overigBouwwerk_v (824),ad5.bergbezinkbassin_v (3),1,BGTPLUSTYPE_bezinkbak,Vaarwegen
ad4.scheidingWater_l (11359),ad5.beschoeiing_l (6701),1,BGTPLUSTYPE_walbescherming,Vaarwegen
ad4.kast_p (2249),ad5.besturingskast_p (71),1,TYPESPEC_Rioolpompkast,OVL/VRI
ad4.straatmeubilair_p (6902),ad5.betaalautomaat_p (9),1,TYPESPEC_Betaalautomaat,Wegkantsystemen
ad4.waterinrichtingselement_p (2466),ad5.betonning_p (87),1,TYPESPEC_Baken,Vaarwegen
