source,target,value,mapping,assetgroep
ad4.buis_l (10618),ad5.aansluitleiding_l (0),1,TYPESPEC_aansluitleiding,Overig
ad4.leidingelement_p (26119),ad5.aansluitput_p (0),1,TYPESPEC_Zandvang,Overig
ad4.leidingelement_p (26119),ad5.aardelektrode_p (0),1,TYPESPEC_aarding,Overig
ad4.straatmeubilairAbri_p (282),ad5.abri_p (0),1,x_x,Overig
ad4.straatmeubilairLichtpunt_p (25465),ad5.actievewegmarkering_p (0),1,TYPESPEC_AM,Overig
ad4.adres_tbl (60),ad5.adres_tbl (0),1,x_x,Overig
ad4.paalDraagconstructie_p (50695),ad5.afsluitpaal_p (0),1,BGTPLUSTYPE_niet-bgt_afsluitpaal,Overig
ad4.paalAfbakening_p (34245),ad5.afsluitpaal_p (0),1,TYPESPEC_Afsluiter_schamppaal,Overig
ad4.bak_p (994),ad5.afvalbak_p (0),1,BGTPLUSTYPE_niet-bgt_afvalbak_niet-bgt_ afval apartplaats,Overig
ad4.straatmeubilair_p (6902),ad5.akoestische_signaalgever_p (0),1,TYPESPEC_bel,Overig
ad4.sensor_p (2001),ad5.antenne_p (0),1,TYPESPEC_Kar antenne,Overig
ad4.kunstwerk_p (869),ad5.aquaduct_p (0),1,NENBEHEEROBJECT_Aquaducten,Overig
ad4.straatmeubilairLichtpunt_p (25465),ad5.armatuur_p (0),1,TYPESPEC_ARM_MU,Overig
ad4.wegdeel_v (60933),ad5.asfaltverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.ondersteunendWegdeel_v (34754),ad5.asfaltverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.onbegroeidTerreindeel_v (10669),ad5.asfaltverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_asfalt,Wegen
ad4.weginrichtingselement_l (8250),ad5.balustrade_l (0),1,BGTPLUSTYPE_niet-bgt_balustrade,Overig
ad4.weginrichtingselement_l (8250),ad5.band_l (0),1,TYPESPEC_OPS,Overig
ad4.gebiedscontractregio_v (7),ad5.beheergebied_v (0),1,x_x,Overig
ad4.beheergrenzen_v (10),ad5.beheervak_v (0),1,x_x,Overig
ad4.overigBouwwerk_v (824),ad5.bergbezinkbassin_v (0),1,BGTPLUSTYPE_bezinkbak,Overig
ad4.scheidingWater_l (11359),ad5.beschoeiing_l (0),1,BGTPLUSTYPE_walbescherming,Overig
ad4.kast_p (2249),ad5.besturingskast_p (0),1,TYPESPEC_Rioolpompkast,Overig
ad4.straatmeubilair_p (6902),ad5.betaalautomaat_p (0),1,TYPESPEC_Betaalautomaat,Overig
ad4.waterinrichtingselement_p (2466),ad5.betonning_p (0),1,TYPESPEC_Baken,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.betonverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,Overig
ad4.wegdeel_v (60933),ad5.betonverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,Overig
ad4.onbegroeidTerreindeel_v (10669),ad5.betonverharding_v (0),1,FYSIEKVOORKOMEN_gesloten verharding_cementbeton,Overig
ad4.kunstwerk_p (869),ad5.beweegbarebrug_p (0),1,NENBEHEEROBJECT_Bruggen beweegbaar,Overig
ad4.weginrichtingselement_p (6559),ad5.blok_p (0),1,TYPESPEC_schampblok,Overig
ad4.straatmeubilair_p (6902),ad5.bolder_p (0),1,TYPESPEC_Bolder,Overig
ad4.vegetatieObject_p (47070),ad5.boom_p (0),1,x_x,Groen
ad4.vegetatieobject_v (210),ad5.boomspiegel_v (0),1,TYPESPEC_Boomspiegel,Overig
ad4.gebouwInstallatie_v (6),ad5.bordes_v (0),1,BGTPLUSTYPE_niet-bgt_bordes,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.bos_v (0),1,FYSIEKVOORKOMEN_gemengd bos_loofbos_loofbos_griend en hakhout_naaldbos,Overig
ad4.begroeidTerreindeelPlantvak_v (4499),ad5.bosplantsoen_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,Overig
ad4.ondersteunendWegdeel_v (34754),ad5.bosplantsoen_v (0),1,FYSIEKVOORKOMEN_groenvoorziening_bosplantsoen,Overig
ad4.begroeidTerreindeel_v (3887),ad5.bouwland_v (0),1,FYSIEKVOORKOMEN_bouwland_bouwland_bollenteelt_bouwland_akkerbouw_bouwland_vollegrondsteelt_bouwland_braakliggend,Overig
ad4.put_p (1278),ad5.brandkraan_p (0),1,BGTPLUSTYPE_niet-bgt_brandkraan _ -put,Overig
ad4.straatmeubilair_p (6902),ad5.brievenbus_p (0),1,TYPESPEC_Brievenbus,Overig
ad4.vtaInspectie_tbl (196319),ad5.bvc_inspectie_tbl (0),1,x_x,Overig
ad4.kast_p (2249),ad5.cai_kast_p (0),1,TYPESPEC_CAI,Overig
ad4.sensor_p (2001),ad5.camera_p (0),1,TYPESPEC_Detectie_ camera overig_ObservatieCamera_Straatmeubilair_ camera,Overig
ad4.elektriciteitskabel_l (34538),ad5.combikabel_l (0),1,TYPESPEC_ADD,Overig
ad4.telecommunicatiekabel_l (536),ad5.combikabel_l (0),1,TYPESPEC_ADD,Overig
ad4.kunstwerkdeel_v (3773),ad5.coupure_v (0),1,BGTPLUSTYPE_niet-bgt_coupure,Overig
ad4.crowInspectie_tbl (76),ad5.crowinspectie_tbl (0),1,x_x,Overig
ad4.crowInspectieresultaat_tbl (263541),ad5.crowinspectieresultaat_tbl (0),1,x_x,Overig
ad4.crowMeting_tbl (184511),ad5.crowmeting_tbl (0),1,x_x,Overig
ad4.scheidingWater_l (11359),ad5.damwand_l (0),1,BGTPLUSTYPE_damwand,Overig
ad4.elektriciteitskabel_l (34538),ad5.datakabel_l (0),1,TYPESPEC_DAT,Overig
ad4.telecommunicatiekabel_l (536),ad5.datakabel_l (0),1,TYPESPEC_DAT,Overig
ad4.overbruggingsdeel_v (2909),ad5.dek_v (0),1,TYPEOVERBRUGGINGSDEEL_dek,Overig
ad4.sensor_l (11577),ad5.detector_l (0),1,x_x,Overig
ad4.sensor_p (2001),ad5.detector_p (0),1,TYPESPEC_Radar detector,Overig
